entity_id,state,last_updated
sensor.sm_a336b_light_sensor,60,2023-01-27 07:24:46.805223
sensor.sm_a336b_active_notification_count,4,2023-01-27 07:24:46.807111
sensor.sm_a336b_app_memory,0.016,2023-01-27 07:32:18.477382
sensor.sm_a336b_battery_level,65,2023-01-27 07:32:18.481735
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 07:32:18.483715
sensor.sm_a336b_total_tx_gb,1.365,2023-01-27 07:32:18.485644
device_tracker.sm_a336b,Cate Home,2023-01-27 07:36:10.951254
sensor.sm_a336b_app_memory,0.027,2023-01-27 07:43:07.259302
sensor.sm_a336b_battery_level,73,2023-01-27 07:43:07.261329
sensor.sm_a336b_battery_temperature,21.5,2023-01-27 07:43:07.263206
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 07:43:07.266817
sensor.sm_a336b_light_sensor,59,2023-01-27 07:43:07.268593
sensor.sm_a336b_app_tx_gb,0.0273,2023-01-27 07:50:53.709493
sensor.sm_a336b_app_memory,0.023,2023-01-27 07:50:53.711539
sensor.sm_a336b_battery_level,79,2023-01-27 07:50:53.721472
sensor.sm_a336b_battery_temperature,21.4,2023-01-27 07:50:53.723457
sensor.sm_a336b_battery_power,0.0,2023-01-27 07:50:53.725342
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_ON,2023-01-27 07:50:53.727149
sensor.sm_a336b_light_sensor,60,2023-01-27 07:50:53.729575
sensor.sm_a336b_wifi_link_speed,292,2023-01-27 07:50:53.731345
sensor.sm_a336b_active_notification_count,6,2023-01-27 07:50:53.733100
binary_sensor.sm_a336b_interactive,on,2023-01-27 07:50:53.734868
sensor.sm_a336b_total_rx_gb,44.22,2023-01-27 07:50:53.736615
sensor.sm_a336b_app_memory,0.025,2023-01-27 07:50:59.084133
sensor.sm_a336b_battery_power,0.01,2023-01-27 07:50:59.088379
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 07:50:59.090345
sensor.sm_a336b_light_sensor,10,2023-01-27 07:50:59.092194
sensor.sm_a336b_wifi_link_speed,351,2023-01-27 07:50:59.096612
binary_sensor.sm_a336b_interactive,off,2023-01-27 07:50:59.098471
device_tracker.sm_a336b,Cate Home,2023-01-27 07:50:59.922679
device_tracker.sm_a336b,Cate Home,2023-01-27 07:52:32.013238
sensor.sm_a336b_app_memory,0.028,2023-01-27 07:58:40.287691
sensor.sm_a336b_battery_level,84,2023-01-27 07:58:40.291893
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 07:58:40.298251
sensor.sm_a336b_light_sensor,62,2023-01-27 07:58:40.300189
sensor.sm_a336b_total_rx_gb,44.221,2023-01-27 07:58:40.302054
sensor.sm_a336b_app_memory,0.019,2023-01-27 08:02:18.973486
sensor.sm_a336b_battery_level,87,2023-01-27 08:02:18.975530
