entity_id,state,last_updated
sensor.cph2371_battery_temperature,20.7,2023-01-27 05:00:31.696394
sensor.cph2371_app_memory,0.014,2023-01-27 05:01:53.659140
sensor.cph2371_app_memory,0.016,2023-01-27 05:05:31.880678
sensor.cph2371_battery_temperature,20.6,2023-01-27 05:05:31.882741
sensor.cph2371_app_memory,0.018,2023-01-27 05:06:38.479189
sensor.cph2371_app_memory,0.011,2023-01-27 05:07:05.986662
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 05:07:05.991354
device_tracker.cph2371,home,2023-01-27 05:07:53.221912
sensor.cph2371_app_memory,0.012,2023-01-27 05:07:53.437228
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:07:53.440959
sensor.cph2371_app_rx_gb,0.003,2023-01-27 05:08:53.586201
sensor.cph2371_app_memory,0.014,2023-01-27 05:08:53.588237
sensor.cph2371_battery_temperature,20.5,2023-01-27 05:08:53.591858
sensor.cph2371_app_memory,0.016,2023-01-27 05:10:31.949995
sensor.cph2371_app_memory,0.018,2023-01-27 05:11:31.607253
sensor.cph2371_app_memory,0.02,2023-01-27 05:18:38.789286
sensor.cph2371_total_rx_gb,0.827,2023-01-27 05:18:38.797440
sensor.cph2371_app_memory,0.015,2023-01-27 05:19:47.326489
sensor.cph2371_app_memory,0.017,2023-01-27 05:21:18.921074
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 05:21:18.925992
sensor.cph2371_app_memory,0.018,2023-01-27 05:21:19.096874
sensor.cph2371_app_memory,0.011,2023-01-27 05:22:06.725748
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 05:22:06.729509
device_tracker.cph2371,home,2023-01-27 05:23:46.976365
sensor.cph2371_app_memory,0.015,2023-01-27 05:23:47.272325
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:23:47.277215
sensor.cph2371_app_memory,0.017,2023-01-27 05:25:09.251357
sensor.cph2371_app_memory,0.019,2023-01-27 05:26:50.587401
sensor.cph2371_app_memory,0.014,2023-01-27 05:31:34.722847
sensor.cph2371_battery_temperature,20.0,2023-01-27 05:31:34.724786
sensor.cph2371_app_rx_gb,0.0031,2023-01-27 05:35:21.083923
sensor.cph2371_app_memory,0.016,2023-01-27 05:35:21.087149
sensor.cph2371_battery_temperature,19.9,2023-01-27 05:35:21.089171
sensor.cph2371_total_tx_gb,0.328,2023-01-27 05:35:21.097591
sensor.cph2371_app_memory,0.018,2023-01-27 05:36:34.516920
sensor.cph2371_total_rx_gb,0.828,2023-01-27 05:36:34.525320
sensor.cph2371_app_memory,0.02,2023-01-27 05:37:50.856705
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 05:37:50.861935
device_tracker.cph2371,home,2023-01-27 05:40:20.656247
sensor.cph2371_app_memory,0.012,2023-01-27 05:40:21.022706
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:40:21.029475
