entity_id,state,last_updated
sensor.cph2197_app_memory,0.018,2023-01-27 04:29:37.380232
sensor.cph2197_total_rx_gb,1.795,2023-01-27 04:29:37.388455
sensor.cph2197_app_memory,0.011,2023-01-27 04:31:47.491862
sensor.cph2197_app_memory,0.012,2023-01-27 04:32:09.750628
device_tracker.cph2197,home,2023-01-27 04:33:21.988380
sensor.cph2197_app_memory,0.014,2023-01-27 04:33:22.337920
sensor.cph2197_battery_temperature,18.1,2023-01-27 04:33:22.341160
sensor.cph2197_total_tx_gb,0.039,2023-01-27 04:33:22.349180
sensor.cph2197_app_memory,0.016,2023-01-27 04:37:01.792566
sensor.cph2197_battery_temperature,18.0,2023-01-27 04:37:01.794537
sensor.cph2197_battery_power,0.0,2023-01-27 04:37:01.798280
sensor.cph2197_app_memory,0.018,2023-01-27 04:38:07.442168
sensor.cph2197_battery_power,0.0,2023-01-27 04:38:07.444212
sensor.cph2197_app_rx_gb,0.0031,2023-01-27 04:39:04.610293
sensor.cph2197_app_memory,0.014,2023-01-27 04:39:04.612326
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 04:39:04.617606
sensor.cph2197_app_tx_gb,0.0014,2023-01-27 04:42:52.664366
sensor.cph2197_app_memory,0.016,2023-01-27 04:42:52.666431
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:42:52.671676
sensor.cph2197_app_memory,0.018,2023-01-27 04:47:37.992197
device_tracker.cph2197,home,2023-01-27 04:49:06.817541
sensor.cph2197_app_memory,0.01,2023-01-27 04:49:07.236968
sensor.cph2197_battery_power,0.0,2023-01-27 04:49:07.239132
sensor.cph2197_total_rx_gb,1.796,2023-01-27 04:49:07.246488
sensor.cph2197_app_memory,0.012,2023-01-27 04:52:22.818841
sensor.cph2197_battery_power,0.0,2023-01-27 04:52:22.822274
sensor.cph2197_app_memory,0.015,2023-01-27 04:54:07.740284
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 04:54:07.747685
sensor.cph2197_app_memory,0.018,2023-01-27 04:56:34.267891
sensor.cph2197_battery_temperature,17.9,2023-01-27 04:56:34.269926
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:56:34.275256
sensor.cph2197_app_memory,0.014,2023-01-27 04:56:35.080608
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 04:56:35.084310
sensor.cph2197_app_memory,0.016,2023-01-27 04:57:07.674661
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 04:57:07.678343
sensor.cph2197_app_memory,0.018,2023-01-27 05:01:53.045098
sensor.cph2197_battery_temperature,18.0,2023-01-27 05:01:53.047171
device_tracker.cph2197,home,2023-01-27 05:06:37.713040
sensor.cph2197_app_memory,0.01,2023-01-27 05:06:38.119881
sensor.cph2197_total_rx_gb,1.797,2023-01-27 05:06:38.128152
sensor.cph2197_app_memory,0.012,2023-01-27 05:08:08.101113
sensor.cph2197_app_rx_gb,0.0032,2023-01-27 05:09:24.516850
sensor.cph2197_app_memory,0.014,2023-01-27 05:09:24.518892
sensor.cph2197_battery_power,0.0,2023-01-27 05:09:24.520836
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 05:09:24.524240
sensor.cph2197_app_memory,0.016,2023-01-27 05:11:26.043472
sensor.cph2197_battery_temperature,17.9,2023-01-27 05:11:26.045476
sensor.cph2197_battery_power,0.0,2023-01-27 05:11:26.049277
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:11:26.051122
sensor.cph2197_app_memory,0.018,2023-01-27 05:13:08.228825
sensor.cph2197_app_memory,0.014,2023-01-27 05:16:11.057787
sensor.cph2197_app_memory,0.016,2023-01-27 05:20:32.259569
sensor.cph2197_total_rx_gb,1.798,2023-01-27 05:20:32.707601
device_tracker.cph2197,home,2023-01-27 05:24:24.822163
sensor.cph2197_app_memory,0.019,2023-01-27 05:24:25.614760
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 05:24:25.619564
sensor.cph2197_app_memory,0.013,2023-01-27 05:25:50.898798
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:25:50.903888
sensor.cph2197_app_memory,0.015,2023-01-27 05:26:35.430414
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 05:26:35.434121
sensor.cph2197_app_memory,0.015,2023-01-27 05:26:35.484871
sensor.cph2197_app_memory,0.019,2023-01-27 05:28:26.737766
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 05:28:26.742718
sensor.cph2197_app_memory,0.014,2023-01-27 05:31:56.780865
sensor.cph2197_app_memory,0.016,2023-01-27 05:36:41.901520
sensor.cph2197_battery_temperature,17.8,2023-01-27 05:36:41.903560
sensor.cph2197_app_rx_gb,0.0033,2023-01-27 05:37:41.720874
sensor.cph2197_app_memory,0.018,2023-01-27 05:37:41.723037
sensor.cph2197_app_memory,0.019,2023-01-27 05:38:38.660909
sensor.cph2197_battery_power,0.0,2023-01-27 05:38:38.663121
sensor.cph2197_total_rx_gb,1.799,2023-01-27 05:38:38.670196
sensor.cph2197_app_memory,0.012,2023-01-27 05:39:10.576053
device_tracker.cph2197,home,2023-01-27 05:39:12.690600
sensor.cph2197_app_memory,0.014,2023-01-27 05:39:31.937316
sensor.cph2197_battery_temperature,17.9,2023-01-27 05:39:31.939357
sensor.cph2197_battery_power,0.0,2023-01-27 05:39:31.943014
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 05:39:31.944844
